Table 1
,,,,,,
,Scientific name,English name,Family,Global IUCN Red List Category,,
,Buteo buteo,Eurasian Buzzard,"Accipitridae (Hawks, Eagles)",LC,,
,Buteo japonicus,Japanese Buzzard,"Accipitridae (Hawks, Eagles)",LC,,
,Buteo socotraensis,Socotra Buzzard,"Accipitridae (Hawks, Eagles)",VU,,
,Pharomachrus mocinno,Resplendent Quetzal,Trogonidae (Trogons),NT,,
,Bucorvus leadbeateri,Southern Ground-hornbill,Bucerotidae (Hornbills),VU,,
,Rhabdotorrhinus exarhatus,Sulawesi Hornbill,Bucerotidae (Hornbills),VU,,
,Rhyticeros narcondami,Narcondam Hornbill,Bucerotidae (Hornbills),VU,,
,Upupa antaios,St Helena Hoopoe,Upupidae (Hoopoes),EX,,
,Geobiastes squamiger,Scaly Ground-roller,Brachypteraciidae (Ground-rollers),VU,,
,Uratelornis chimaera,Long-tailed Ground-roller,Brachypteraciidae (Ground-rollers),VU,,
,Atelornis crossleyi,Rufous-headed Ground-roller,Brachypteraciidae (Ground-rollers),NT,,
,Electron carinatum,Keel-billed Motmot,Momotidae (Motmots),VU,,
,Actenoides bougainvillei,Bougainville Moustached Kingfisher,Alcedinidae (Kingfishers),EN,,
,Actenoides excelsus,Guadalcanal Moustached Kingfisher,Alcedinidae (Kingfishers),EN,,
,Todiramphus farquhari,Vanuatu Kingfisher,Alcedinidae (Kingfishers),NT,,
,Todiramphus pelewensis,Palau Kingfisher,Alcedinidae (Kingfishers),NT,,
,Todiramphus cinnamominus,Guam Kingfisher,Alcedinidae (Kingfishers),EW,,
,Todiramphus reichenbachii,Pohnpei Kingfisher,Alcedinidae (Kingfishers),VU,,
,Todiramphus tutus,Chattering Kingfisher,Alcedinidae (Kingfishers),NT,,
,Todiramphus ruficollaris,Mangaia Kingfisher,Alcedinidae (Kingfishers),VU,,
,Todiramphus youngi,Moorea Kingfisher,Alcedinidae (Kingfishers),NT,,
,Todiramphus gambieri,Tuamotu Kingfisher,Alcedinidae (Kingfishers),CR,,
,Todiramphus godeffroyi,Marquesas Kingfisher,Alcedinidae (Kingfishers),CR,,
,Semnornis ramphastinus,Toucan Barbet,Semnornithidae (Prong-billed Barbets),NT,,
,Lybius chaplini,Zambian Barbet,Lybiidae (African barbets),VU,,
,Colaptes fernandinae,Fernandina's Flicker,Picidae (Woodpeckers),VU,,
,Colaptes oceanicus,Bermuda Flicker,Picidae (Woodpeckers),EX,,
,Melanerpes herminieri,Guadeloupe Woodpecker,Picidae (Woodpeckers),LC,,
,Melanerpes erythrocephalus,Red-headed Woodpecker,Picidae (Woodpeckers),LC,,
,Dendropicos dorae,Arabian Woodpecker,Picidae (Woodpeckers),NT,,
,Leuconotopicus borealis,Red-cockaded Woodpecker,Picidae (Woodpeckers),NT,,
,Dendrocopos noguchii,Okinawa Woodpecker,Picidae (Woodpeckers),CR,,
,Falco punctatus,Mauritius Kestrel,"Falconidae (Falcons, Caracaras)",EN,,
,Falco araeus,Seychelles Kestrel,"Falconidae (Falcons, Caracaras)",VU,,
,Falco duboisi,Reunion Kestrel,"Falconidae (Falcons, Caracaras)",EX,,
,Falco eleonorae,Eleonora's Falcon,"Falconidae (Falcons, Caracaras)",LC,,
,Falco columbarius,Merlin,"Falconidae (Falcons, Caracaras)",LC,,
,Falco deiroleucus,Orange-breasted Falcon,"Falconidae (Falcons, Caracaras)",NT,,
,Falco novaeseelandiae,New Zealand Falcon,"Falconidae (Falcons, Caracaras)",NT,,
,Falco hypoleucos,Grey Falcon,"Falconidae (Falcons, Caracaras)",VU,,
,Falco biarmicus,Lanner Falcon,"Falconidae (Falcons, Caracaras)",LC,,
,Falco fasciinucha,Taita Falcon,"Falconidae (Falcons, Caracaras)",VU,,
,Strigops habroptila,Kakapo,Strigopidae (New Zealand Parrots),CR,,
,Nestor notabilis,Kea,Strigopidae (New Zealand Parrots),EN,,
,Nestor meridionalis,New Zealand Kaka,Strigopidae (New Zealand Parrots),EN,,
,Zanda baudinii,Long-billed Black-cockatoo,Cacatuidae (Cockatoos),EN,,
,Zanda latirostris,Short-billed Black-cockatoo,Cacatuidae (Cockatoos),EN,,
,Cacatua haematuropygia,Philippine Cockatoo,Cacatuidae (Cockatoos),CR,,
,Cacatua sulphurea,Yellow-crested Cockatoo,Cacatuidae (Cockatoos),CR,,
,Poicephalus robustus,Cape Parrot,Psittacidae (Parrots),VU,,
,Amazona agilis,Black-billed Amazon,Psittacidae (Parrots),EN,,
,Amazona collaria,Yellow-billed Amazon,Psittacidae (Parrots),VU,,
,Amazona vittata,Puerto Rican Amazon,Psittacidae (Parrots),CR,,
,Amazona auropalliata,Yellow-naped Amazon,Psittacidae (Parrots),EN,,
,Amazona barbadensis,Yellow-shouldered Amazon,Psittacidae (Parrots),VU,,
,Pyrrhura devillei,Blaze-winged Parakeet,Psittacidae (Parrots),NT,,
,Pyrrhura griseipectus,Grey-breasted Parakeet,Psittacidae (Parrots),EN,,
,Pyrrhura orcesi,El Oro Parakeet,Psittacidae (Parrots),EN,,
,Eupsittula nana,Jamaican Parakeet,Psittacidae (Parrots),NT,,
,Conuropsis carolinensis,Carolina Parakeet,Psittacidae (Parrots),EX,,
,Cyanopsitta spixii,Spix's Macaw,Psittacidae (Parrots),EW,,
,Ara glaucogularis,Blue-throated Macaw,Psittacidae (Parrots),CR,,
,Ara militaris,Military Macaw,Psittacidae (Parrots),VU,,
,Leptosittaca branickii,Golden-plumed Parakeet,Psittacidae (Parrots),LC,,
,Coracopsis barklyi,Seychelles Parrot,Psittacidae (Parrots),VU,,
,Psephotellus chrysopterygius,Golden-shouldered Parrot,Psittacidae (Parrots),EN,,
,Psephotellus pulcherrimus,Paradise Parrot,Psittacidae (Parrots),EX,,
,Lathamus discolor,Swift Parrot,Psittacidae (Parrots),CR,,
,Eunymphicus cornutus,Horned Parakeet,Psittacidae (Parrots),VU,,
,Eunymphicus uvaeensis,Ouvea Parakeet,Psittacidae (Parrots),VU,,
,Cyanoramphus zealandicus,Black-fronted Parakeet,Psittacidae (Parrots),EX,,
,Cyanoramphus ulietanus,Raiatea Parakeet,Psittacidae (Parrots),EX,,
,Cyanoramphus unicolor,Antipodes Parakeet,Psittacidae (Parrots),VU,,
,Cyanoramphus forbesi,Chatham Parakeet,Psittacidae (Parrots),VU,,
,Cyanoramphus auriceps,Yellow-fronted Parakeet,Psittacidae (Parrots),NT,,
,Cyanoramphus malherbi,Malherbe's Parakeet,Psittacidae (Parrots),CR,,
,Cyanoramphus novaezelandiae,Red-fronted Parakeet,Psittacidae (Parrots),LC,,
,Pezoporus occidentalis,Night Parrot,Psittacidae (Parrots),EN,,
,Neophema chrysogaster,Orange-bellied Parrot,Psittacidae (Parrots),CR,,
,Neophema splendida,Scarlet-chested Parrot,Psittacidae (Parrots),LC,,
,Charmosyna palmarum,Palm Lorikeet,Psittacidae (Parrots),VU,,
,Charmosyna diadema,New Caledonian Lorikeet,Psittacidae (Parrots),CR (PE),,
,Charmosyna amabilis,Red-throated Lorikeet,Psittacidae (Parrots),CR,,
,Vini kuhlii,Rimatara Lorikeet,Psittacidae (Parrots),EN,,
,Vini stepheni,Henderson Lorikeet,Psittacidae (Parrots),VU,,
,Vini peruviana,Blue Lorikeet,Psittacidae (Parrots),VU,,
,Vini ultramarina,Ultramarine Lorikeet,Psittacidae (Parrots),CR,,
,Eos histrio,Red-and-blue Lory,Psittacidae (Parrots),EN,,
,Cyclopsitta coxeni,Coxen's Fig-parrot,Psittacidae (Parrots),EN,,
,Loriculus catamene,Sangihe Hanging-parrot,Psittacidae (Parrots),NT,,
,Agapornis fischeri,Fischer's Lovebird,Psittacidae (Parrots),NT,,
,Agapornis nigrigenis,Black-cheeked Lovebird,Psittacidae (Parrots),VU,,
,Polytelis swainsonii,Superb Parrot,Psittacidae (Parrots),LC,,
,Polytelis anthopeplus,Regent Parrot,Psittacidae (Parrots),LC,,
,Polytelis alexandrae,Princess Parrot,Psittacidae (Parrots),NT,,
,Prioniturus platenae,Blue-headed Racquet-tail,Psittacidae (Parrots),VU,,
,Prioniturus luconensis,Green Racquet-tail,Psittacidae (Parrots),EN,,
,Eclectus infectus,Oceanic Parrot,Psittacidae (Parrots),EX,,
,Alexandrinus eques,Echo Parakeet,Psittacidae (Parrots),VU,,
,Xenicus longipes,Bushwren,Acanthisittidae (New Zealand wrens),EX,,
,Xenicus gilviventris,New Zealand Rockwren,Acanthisittidae (New Zealand wrens),EN,,
,Traversia lyalli,Stephens Island Rockwren,Acanthisittidae (New Zealand wrens),EX,,
,Hydrornis gurneyi,Gurney's Pitta,Pittidae (Pittas),CR,,
,Pitta anerythra,Black-faced Pitta,Pittidae (Pittas),VU,,
,Pitta superba,Superb Pitta,Pittidae (Pittas),EN,,
,Formicivora acutirostris,Parana Antwren,Thamnophilidae (Antbirds),NT,,
,Formicivora paludicola,Marsh Antwren,Thamnophilidae (Antbirds),CR,,
,Scytalopus iraiensis,Marsh Tapaculo,Rhinocryptidae (Tapaculos),EN,,
,Cinclodes maculirostris,Black Cinclodes,Furnariidae (Ovenbirds),NT,,
,Cinclodes antarcticus,Blackish Cinclodes,Furnariidae (Ovenbirds),NT,,
,Clibanornis erythrocephalus,Henna-hooded Foliage-gleaner,Furnariidae (Ovenbirds),NT,,
,Aphrastura masafucrae,Masafuera Rayadito,Furnariidae (Ovenbirds),CR,,
,Asthenes luizae,Cipo Canastero,Furnariidae (Ovenbirds),NT,,
,Cranioleuca dissita,Coiba Spinetail,Furnariidae (Ovenbirds),LC,,
,Zaratornis stresemanni,White-cheeked Cotinga,Cotingidae (Cotingas),VU,,
,Phytotoma raimondii,Peruvian Plantcutter,Cotingidae (Cotingas),VU,,
,Phibalura boliviana,Apolo Cotinga,Cotingidae (Cotingas),EN,,
,Elaenia ridleyana,Noronha Elaenia,Tyrannidae (Tyrant-flycatchers),VU,,
,Nesotriccus ridgwayi,Cocos Flycatcher,Tyrannidae (Tyrant-flycatchers),VU,,
,Anairetes fernandezianus,Juan Fernandez Tit-tyrant,Tyrannidae (Tyrant-flycatchers),NT,,
,Myiarchus semirufus,Rufous Flycatcher,Tyrannidae (Tyrant-flycatchers),VU,,
,Ochthoeca salvini,Tumbes Tyrant,Tyrannidae (Tyrant-flycatchers),NT,,
,Pyrocephalus nanus,Little Vermilion Flycatcher,Tyrannidae (Tyrant-flycatchers),VU,,
,Pyrocephalus dubius,Least Vermilion Flycatcher,Tyrannidae (Tyrant-flycatchers),EX,,
,Alectrurus tricolor,Cock-tailed Tyrant,Tyrannidae (Tyrant-flycatchers),VU,,
,Xolmis dominicanus,Black-and-white Monjita,Tyrannidae (Tyrant-flycatchers),VU,,
,Agriornis albicauda,White-tailed Shrike-tyrant,Tyrannidae (Tyrant-flycatchers),VU,,
,Menura alberti,Albert's Lyrebird,Menuridae (Lyrebirds),NT,,
,Atrichornis clamosus,Noisy Scrub-bird,Atrichornithidae (Scrub-birds),EN,,
,Amytornis dorotheae,Carpentarian Grasswren,Maluridae (Australasian wrens),VU,,
,Amytornis merrotsyi,Short-tailed Grasswren,Maluridae (Australasian wrens),NT,,
,Dasyornis brachypterus,Eastern Bristlebird,Dasyornithidae (Bristlebirds),EN,,
,Dasyornis longirostris,Western Bristlebird,Dasyornithidae (Bristlebirds),EN,,
,Dasyornis broadbenti,Rufous Bristlebird,Dasyornithidae (Bristlebirds),LC,,
,Gymnomyza samoensis,Mao,Meliphagidae (Honeyeaters),EN,,
,Gymnomyza aubryana,Crow Honeyeater,Meliphagidae (Honeyeaters),CR,,
,Grantiella picta,Painted Honeyeater,Meliphagidae (Honeyeaters),VU,,
,Myzomela chermesina,Rotuma Myzomela,Meliphagidae (Honeyeaters),VU,,
,Anthornis melanocephala,Chatham Bellbird,Meliphagidae (Honeyeaters),EX,,
,Microptilotis vicina,Tagula Honeyeater,Meliphagidae (Honeyeaters),LC,,
,Anthochaera phrygia,Regent Honeyeater,Meliphagidae (Honeyeaters),CR,,
,Manorina melanotis,Black-eared Miner,Meliphagidae (Honeyeaters),EN,,
,Pardalotus quadragintus,Forty-spotted Pardalote,Pardalotidae (Pardalotes),EN,,
,Gerygone modesta,Norfolk Gerygone,Acanthizidae (Thornbills and gerygones),NT,,
,Gerygone insularis,Lord Howe Gerygone,Acanthizidae (Thornbills and gerygones),EX,,
,Pyrrholaemus sagittatus,Speckled Warbler,Acanthizidae (Thornbills and gerygones),LC,,
,Mohoua ochrocephala,Yellowhead,Mohouidae (Mohouas),EN,,
,Turnagra tanagra,North Island Piopio,Oriolidae (Orioles and figbirds),EX,,
,Turnagra capensis,South Island Piopio,Oriolidae (Orioles and figbirds),EX,,
,Oriolus isabellae,Isabela Oriole,Oriolidae (Orioles and figbirds),CR,,
,Pachycephala rufogularis,Red-lored Whistler,Pachycephalidae (Whistlers),VU,,
,Pachycephala jacquinoti,Tongan Whistler,Pachycephalidae (Whistlers),NT,,
,Vireo bellii,Bell's Vireo,Vireonidae (Vireos and allies),LC,,
,Vireo latimeri,Puerto Rican Vireo,Vireonidae (Vireos and allies),LC,,
,Vireo atricapilla,Black-capped Vireo,Vireonidae (Vireos and allies),NT,,
,Ceblepyris cucullatus,Comoro Cuckooshrike,Campephagidae (Cuckoo-shrikes),VU,,
,Edolisoma nesiotis,Yap Cicadabird,Campephagidae (Cuckoo-shrikes),EN,,
,Lalage conjuncta,Mussau Triller,Campephagidae (Cuckoo-shrikes),VU,,
,Lalage typica,Mauritius Cuckooshrike,Campephagidae (Cuckoo-shrikes),VU,,
,Lalage newtoni,Reunion Cuckooshrike,Campephagidae (Cuckoo-shrikes),CR,,
,Cracticus louisiadensis,Tagula Butcherbird,Artamidae (Woodswallows),NT,,
,Prionops poliolophus,Grey-crested Helmetshrike,Vangidae (Vangas),NT,,
,Malaconotus alius,Uluguru Bush-shrike,"Malaconotidae (Helmetshrikes, bushshrikes and puffbacks)",EN,,
,Lamprolia klinesmithi,Natewa Silktail,Lamproliidae (Silktails),VU,,
,Lamprolia victoriae,Taveuni Silktail,Lamproliidae (Silktails),NT,,
,Rhipidura malaitae,Malaita Fantail,Rhipiduridae (Fantails),VU,,
,Rhipidura semirubra,Manus Fantail,Rhipiduridae (Fantails),VU,,
,Dicrurus fuscipennis,Comoro Drongo,Dicruridae (Drongos),EN,,
,Dicrurus aldabranus,Aldabra Drongo,Dicruridae (Drongos),NT,,
,Dicrurus waldenii,Mayotte Drongo,Dicruridae (Drongos),VU,,
,Myiagra freycineti,Guam Flycatcher,Monarchidae (Monarchs),EX,,
,Myiagra albiventris,Samoan Flycatcher,Monarchidae (Monarchs),NT,,
,Myiagra azureocapilla,Azure-crested Flycatcher,Monarchidae (Monarchs),NT,,
,Chasiempis sclateri,Kauai Elepaio,Monarchidae (Monarchs),VU,,
,Chasiempis ibidis,Oahu Elepaio,Monarchidae (Monarchs),EN,,
,Chasiempis sandwichensis,Hawaii Elepaio,Monarchidae (Monarchs),VU,,
,Pomarea pomarea,Maupiti Monarch,Monarchidae (Monarchs),EX,,
,Pomarea nigra,Tahiti Monarch,Monarchidae (Monarchs),CR,,
,Pomarea dimidiata,Rarotonga Monarch,Monarchidae (Monarchs),VU,,
,Pomarea fluxa,Eiao Monarch,Monarchidae (Monarchs),EX,,
,Pomarea iphis,Iphis Monarch,Monarchidae (Monarchs),CR,,
,Pomarea whitneyi,Fatu Hiva Monarch,Monarchidae (Monarchs),CR,,
,Pomarea nukuhivae,Nuku Hiva Monarch,Monarchidae (Monarchs),EX,,
,Pomarea mira,Ua Pou Monarch,Monarchidae (Monarchs),CR (PE),,
,Pomarea mendozae,Marquesas Monarch,Monarchidae (Monarchs),EN,,
,Mayrornis versicolor,Ogea Monarch,Monarchidae (Monarchs),NT,,
,Clytorhynchus sanctaecrucis,Nendo Shrikebill,Monarchidae (Monarchs),EN,,
,Clytorhynchus nigrogularis,Black-throated Shrikebill,Monarchidae (Monarchs),NT,,
,Metabolus takatsukasae,Tinian Monarch,Monarchidae (Monarchs),VU,,
,Metabolus godeffroyi,Yap Monarch,Monarchidae (Monarchs),NT,,
,Terpsiphone corvina,Seychelles Paradise-flycatcher,Monarchidae (Monarchs),VU,,
,Lanius ludovicianus,Loggerhead Shrike,Laniidae (Shrikes),NT,,
,Lanius newtoni,Newton's Fiscal,Laniidae (Shrikes),CR,,
,Garrulus lidthi,Amami Jay,Corvidae (Crows and jays),VU,,
,Pica nutalli,Yellow-billed Magpie,Corvidae (Crows and jays),VU,,
,Corvus jamaicensis,Jamaican Crow,Corvidae (Crows and jays),NT,,
,Corvus leucognaphalus,White-necked Crow,Corvidae (Crows and jays),VU,,
,Corvus palmarum,Palm Crow,Corvidae (Crows and jays),LC,,
,Corvus hawaiiensis,Hawaiian Crow,Corvidae (Crows and jays),EW,,
,Corvus florensis,Flores Crow,Corvidae (Crows and jays),EN,,
,Corvus unicolor,Banggai Crow,Corvidae (Crows and jays),CR,,
,Corvus kubaryi,Mariana Crow,Corvidae (Crows and jays),CR,,
,Aphelocoma coerulescens,Florida Scrub-jay,Corvidae (Crows and jays),VU,,
,Paradisaea guilielmi,Emperor Bird-of-paradise,Paradisaeidae (Birds of paradise),NT,,
,Callaeas wilsoni,North Island Kokako,Callaeidae (New Zealand wattlebirds),NT,,
,Callaeas cinereus,South Island Kokako,Callaeidae (New Zealand wattlebirds),CR (PE),,
,Philesturnus rufusater,North Island Saddleback,Callaeidae (New Zealand wattlebirds),NT,,
,Philesturnus carunculatus,South Island Saddleback,Callaeidae (New Zealand wattlebirds),NT,,
,Heteralocha acutirostris,Huia,Callaeidae (New Zealand wattlebirds),EX,,
,Notiomystis cincta,Stitchbird,Notiomystidae (Stitchbird),VU,,
,Picathartes gymnocephalus,White-necked Rockfowl,Picathartidae (Rockfowl),VU,,
,Picathartes oreas,Grey-necked Rockfowl,Picathartidae (Rockfowl),VU,,
,Chaetops frenatus,Cape Rockjumper,Chaetopidae (Rockjumpers),NT,,
,Petroica phoenicea,Flame Robin,Petroicidae (Australasian robins),NT,,
,Petroica multicolor,Norfolk Robin,Petroicidae (Australasian robins),EN,,
,Petroica dannefaerdi,Snares Tomtit,Petroicidae (Australasian robins),VU,,
,Petroica traversi,Black Robin,Petroicidae (Australasian robins),EN,,
,Sittiparus owstoni,Izu Tit,Paridae (Tits and chickadees),EN,,
,Poecile montanus,Willow Tit,Paridae (Tits and chickadees),LC,,
,Machlolophus nuchalis,White-naped Tit,Paridae (Tits and chickadees),VU,,
,Calendulauda burra,Red Lark,Alaudidae (Larks),VU,,
,Heteromirafra ruddi,Rudd's Lark,Alaudidae (Larks),EN,,
,Heteromirafra archeri,Liben Lark,Alaudidae (Larks),CR,,
,Mirafra cheniana,Melodious Lark,Alaudidae (Larks),LC,,
,Eremophila alpestris,Horned Lark,Alaudidae (Larks),LC,,
,Spizocorys fringillaris,Botha's Lark,Alaudidae (Larks),EN,,
,Alauda razae,Raso Lark,Alaudidae (Larks),CR,,
,Artisornis moreaui,Long-billed Forest-warbler,Cisticolidae (Cisticolas and allies),CR,,
,Apalis fuscigularis,Taita Apalis,Cisticolidae (Cisticolas and allies),CR,,
,Apalis karamojae,Karamoja Apalis,Cisticolidae (Cisticolas and allies),VU,,
,Cisticola aberdare,Aberdare Cisticola,Cisticolidae (Cisticolas and allies),VU,,
,Nesillas aldabrana,Aldabra Brush-warbler,Acrocephalidae (Reed-warblers),EX,,
,Calamonastides gracilirostris,Papyrus Yellow Warbler,Acrocephalidae (Reed-warblers),VU,,
,Acrocephalus brevipennis,Cape Verde Swamp-warbler,Acrocephalidae (Reed-warblers),VU,,
,Acrocephalus sechellensis,Seychelles Warbler,Acrocephalidae (Reed-warblers),NT,,
,Acrocephalus rodericanus,Rodrigues Warbler,Acrocephalidae (Reed-warblers),NT,,
,Acrocephalus luscinius,Guam Reed-warbler,Acrocephalidae (Reed-warblers),EX,,
,Acrocephalus hiwae,Saipan Reed-warbler,Acrocephalidae (Reed-warblers),CR,,
,Acrocephalus nijoi,Aguijan Reed-warbler,Acrocephalidae (Reed-warblers),EX,,
,Acrocephalus aequinoctialis,Kiritimati Reed-warbler,Acrocephalidae (Reed-warblers),EN,,
,Acrocephalus yamashinae,Pagan Reed-warbler,Acrocephalidae (Reed-warblers),EX,,
,Acrocephalus astrolabii,Mangareva Reed-warbler,Acrocephalidae (Reed-warblers),EX,,
,Acrocephalus rehsei,Nauru Reed-warbler,Acrocephalidae (Reed-warblers),VU,,
,Acrocephalus familiaris,Millerbird,Acrocephalidae (Reed-warblers),CR,,
,Acrocephalus vaughani,Pitcairn Reed-warbler,Acrocephalidae (Reed-warblers),EN,,
,Acrocephalus taiti,Henderson Reed-warbler,Acrocephalidae (Reed-warblers),VU,,
,Acrocephalus kerearako,Cook Reed-warbler,Acrocephalidae (Reed-warblers),NT,,
,Acrocephalus rimitarae,Rimatara Reed-warbler,Acrocephalidae (Reed-warblers),CR,,
,Acrocephalus musae,Forster's Reed-warbler,Acrocephalidae (Reed-warblers),EX,,
,Acrocephalus caffer,Tahiti Reed-warbler,Acrocephalidae (Reed-warblers),VU,,
,Acrocephalus longirostris,Moorea Reed-warbler,Acrocephalidae (Reed-warblers),CR,,
,Schoenicola platyurus,Broad-tailed Grassbird,Locustellidae (Grasshopper-warblers and grassbirds),VU,,
,Poodytes caudatus,Snares Fernbird,Locustellidae (Grasshopper-warblers and grassbirds),VU,,
,Poodytes rufescens,Chatham Fernbird,Locustellidae (Grasshopper-warblers and grassbirds),EX,,
,Poodytes albolimbatus,Fly River Grassbird,Locustellidae (Grasshopper-warblers and grassbirds),VU,,
,Megalurulus mariae,New Caledonian Thicketbird,Locustellidae (Grasshopper-warblers and grassbirds),LC,,
,Megalurulus grosvenori,New Britain Thicketbird,Locustellidae (Grasshopper-warblers and grassbirds),VU,,
,Megalurulus llaneae,Bougainville Thicketbird,Locustellidae (Grasshopper-warblers and grassbirds),NT,,
,Megalurulus turipavae,Guadalcanal Thicketbird,Locustellidae (Grasshopper-warblers and grassbirds),NT,,
,Megalurulus whitneyi,Santo Thicketbird,Locustellidae (Grasshopper-warblers and grassbirds),LC,,
,Megalurulus rufus,Long-legged Thicketbird,Locustellidae (Grasshopper-warblers and grassbirds),EN,,
,Chaetornis striata,Bristled Grassbird,Locustellidae (Grasshopper-warblers and grassbirds),VU,,
,Delichon urbicum,Northern House Martin,Hirundinidae (Swallows and martins),LC,,
,Cecropis daurica,Red-rumped Swallow,Hirundinidae (Swallows and martins),LC,,
,Hirundo atrocaerulea,Blue Swallow,Hirundinidae (Swallows and martins),VU,,
,Hirundo rustica,Barn Swallow,Hirundinidae (Swallows and martins),LC,,
,Tachycineta euchrysea,Golden Swallow,Hirundinidae (Swallows and martins),VU,,
,Tachycineta cyaneoviridis,Bahama Swallow,Hirundinidae (Swallows and martins),EN,,
,Progne murphyi,Peruvian Martin,Hirundinidae (Swallows and martins),NT,,
,Progne modesta,Galapagos Martin,Hirundinidae (Swallows and martins),EN,,
,Ixos nicobariensis,Nicobar Bulbul,Pycnonotidae (Bulbuls),NT,,
,Hypsipetes siquijorensis,Streak-breasted Bulbul,Pycnonotidae (Bulbuls),EN,,
,Hypsipetes borbonicus,Reunion Bulbul,Pycnonotidae (Bulbuls),NT,,
,Hypsipetes olivaceus,Mauritius Bulbul,Pycnonotidae (Bulbuls),VU,,
,Pycnonotus taivanus,Styan's Bulbul,Pycnonotidae (Bulbuls),VU,,
,Phylloscopus collybita,Common Chiffchaff,Phylloscopidae (Leaf-warblers),LC,,
,Phylloscopus amoenus,Kolombangara Leaf-warbler,Phylloscopidae (Leaf-warblers),VU,,
,Horornis haddeni,Bougainville Bush-warbler,Scotocercidae (Bush-warblers),NT,,
,Cleptornis marchei,Golden White-eye,Zosteropidae (White-eyes),EN,,
,Apalopteron familiare,Bonin White-eye,Zosteropidae (White-eyes),NT,,
,Rukia ruki,Teardrop White-eye,Zosteropidae (White-eyes),EN,,
,Rukia longirostra,Long-billed White-eye,Zosteropidae (White-eyes),NT,,
,Megazosterops palauensis,Giant White-eye,Zosteropidae (White-eyes),NT,,
,Zosterops mouroniensis,Mount Karthala White-eye,Zosteropidae (White-eyes),VU,,
,Zosterops semiflavus,Marianne White-eye,Zosteropidae (White-eyes),EX,,
,Zosterops chloronothos,Mauritius Olive White-eye,Zosteropidae (White-eyes),CR,,
,Zosterops modestus,Seychelles White-eye,Zosteropidae (White-eyes),VU,,
,Zosterops gibbsi,Vanikoro White-eye,Zosteropidae (White-eyes),LC,,
,Zosterops oleagineus,Yap Olive White-eye,Zosteropidae (White-eyes),NT,,
,Zosterops rotensis,Rota White-eye,Zosteropidae (White-eyes),CR,,
,Zosterops natalis,Christmas White-eye,Zosteropidae (White-eyes),NT,,
,Zosterops saypani,Saipan White-eye,Zosteropidae (White-eyes),EN,,
,Zosterops conspicillatus,Bridled White-eye,Zosteropidae (White-eyes),EX,,
,Zosterops hypolais,Yap Plain White-eye,Zosteropidae (White-eyes),NT,,
,Zosterops albogularis,White-chested White-eye,Zosteropidae (White-eyes),CR,,
,Zosterops samoensis,Samoan White-eye,Zosteropidae (White-eyes),VU,,
,Zosterops strenuus,Robust White-eye,Zosteropidae (White-eyes),EX,,
,Zosterops tenuirostris,Slender-billed White-eye,Zosteropidae (White-eyes),NT,,
,Graminicola bengalensis,Indian Grass-babbler,Pellorneidae (Ground babblers),NT,,
,Chatarrhaea longirostris,Slender-billed Babbler,Leiotrichidae (Laughingthrushes and allies),VU,,
,Turdoides hindei,Hinde's Babbler,Leiotrichidae (Laughingthrushes and allies),VU,,
,Garrulax taewanus,Taiwan Hwamei,Leiotrichidae (Laughingthrushes and allies),NT,,
,Sitta insularis,Bahama Nuthatch,Sittidae (Nuthatches and Wallcreeper),CR,,
,Ferminia cerverai,Zapata Wren,Troglodytidae (Wrens),EN,,
,Troglodytes tanneri,Clarion Wren,Troglodytidae (Wrens),VU,,
,Troglodytes cobbi,Cobb's Wren,Troglodytidae (Wrens),LC,,
,Troglodytes sissonii,Socorro Wren,Troglodytidae (Wrens),NT,,
,Cistothorus apolinari,Apolinar's Wren,Troglodytidae (Wrens),EN,,
,Henicorhina negreti,Munchique Wood-wren,Troglodytidae (Wrens),VU,,
,Cinclus schulzii,Rufous-throated Dipper,Cinclidae (Dippers),VU,,
,Leucopsar rothschildi,Bali Myna,Sturnidae (Starlings),CR,,
,Fregilupus varius,Reunion Starling,Sturnidae (Starlings),EX,,
,Necropsar rodericanus,Rodrigues Starling,Sturnidae (Starlings),EX,,
,Poeoptera femoralis,Abbott's Starling,Sturnidae (Starlings),VU,,
,Gracula robusta,Nias Hill Myna,Sturnidae (Starlings),CR,,
,Aplonis feadensis,Atoll Starling,Sturnidae (Starlings),NT,,
,Aplonis santovestris,Mountain Starling,Sturnidae (Starlings),EN,,
,Aplonis pelzelni,Pohnpei Starling,Sturnidae (Starlings),CR,,
,Aplonis corvina,Kosrae Starling,Sturnidae (Starlings),EX,,
,Aplonis cinerascens,Rarotonga Starling,Sturnidae (Starlings),VU,,
,Aplonis ulietensis,Raiatea Starling,Sturnidae (Starlings),EX,,
,Aplonis mavornata,Mysterious Starling,Sturnidae (Starlings),EX,,
,Aplonis fusca,Norfolk Starling,Sturnidae (Starlings),EX,,
,Melanoptila glabrirostris,Black Catbird,Mimidae (Mockingbirds and thrashers),NT,,
,Ramphocinclus brachyurus,White-breasted Thrasher,Mimidae (Mockingbirds and thrashers),EN,,
,Mimus graysoni,Socorro Mockingbird,Mimidae (Mockingbirds and thrashers),CR,,
,Mimus trifasciatus,Floreana Mockingbird,Mimidae (Mockingbirds and thrashers),EN,,
,Mimus macdonaldi,Espanola Mockingbird,Mimidae (Mockingbirds and thrashers),VU,,
,Mimus melanotis,San Cristobal Mockingbird,Mimidae (Mockingbirds and thrashers),NT,,
